idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
123755,DK,8,Complete trust,Complete trust,Complete trust,9,9,Complete trust,Complete trust
123968,DK,8,7,9,9,5,4,7,9
123969,DK,6,6,7,8,5,5,5,7
123981,DK,7,7,8,9,9,5,7,8
124032,DK,6,6,6,7,6,5,5,5
124033,DK,8,9,Complete trust,Complete trust,6,5,7,9
124044,DK,5,5,5,5,3,3,3,5
124047,DK,5,8,8,8,5,5,5,5
124076,DK,6,No trust at all,No trust at all,2,No trust at all,No trust at all,No trust at all,1
124128,DK,7,7,9,9,7,8,6,7
124131,DK,9,8,9,8,7,7,7,8
124170,DK,8,No trust at all,Complete trust,Complete trust,6,3,2,8
124189,DK,7,8,7,8,7,6,7,7
124190,DK,4,2,5,5,5,2,Don't know,5
124256,DK,9,8,8,8,5,6,6,8
124453,DK,4,2,5,Complete trust,No trust at all,No trust at all,5,2
124470,DK,8,9,Complete trust,Complete trust,9,9,8,8
124709,DK,5,4,4,6,7,8,6,4
124713,DK,6,5,6,2,4,4,3,3
124899,DK,8,7,9,9,7,8,7,8
125013,DK,8,7,9,7,6,8,5,9
125022,DK,8,9,9,Complete trust,1,1,No trust at all,7
125039,DK,7,6,8,8,5,5,4,5
125046,DK,8,6,8,8,6,6,6,8
125067,DK,5,4,6,8,3,5,5,6
125101,DK,8,8,9,Complete trust,7,7,7,7
125152,DK,5,No trust at all,No trust at all,8,3,No trust at all,No trust at all,5
125249,DK,7,8,Complete trust,9,8,8,6,8
125278,DK,8,9,9,9,8,8,8,9
125320,DK,8,5,8,6,5,6,7,9
125351,DK,7,7,7,9,7,7,7,8
125381,DK,7,9,8,6,8,8,No trust at all,6
125417,DK,8,7,Complete trust,9,5,5,5,7
125538,DK,6,4,6,8,3,3,5,5
125605,DK,7,5,7,8,3,5,6,8
125611,DK,9,7,9,Complete trust,6,6,8,9
125620,DK,9,9,Complete trust,Complete trust,6,5,5,9
125623,DK,8,7,8,8,7,7,6,8
125686,DK,5,3,7,7,2,4,4,4
125722,DK,6,8,9,8,4,3,7,8
125768,DK,8,8,8,7,7,7,6,8
125805,DK,Most people can be trusted,Don't know,8,8,6,Don't know,8,8
125812,DK,8,8,9,Complete trust,8,7,5,8
125954,DK,5,5,8,8,4,4,2,6
125978,DK,6,7,9,Complete trust,5,5,5,7
126175,DK,7,4,8,7,8,8,8,7
126195,DK,5,7,9,7,4,6,7,3
126234,DK,8,7,8,9,6,6,7,7
126257,DK,8,8,9,9,6,6,5,8
126325,DK,9,8,8,8,8,8,6,6
126351,DK,9,8,9,7,7,7,5,5
126352,DK,Most people can be trusted,9,9,9,8,8,8,8
126447,DK,9,6,8,8,6,6,7,8
126465,DK,8,Complete trust,Complete trust,Complete trust,7,7,6,Complete trust
126468,DK,7,5,4,8,7,7,7,9
126469,DK,5,6,6,8,6,6,5,5
126484,DK,1,3,3,8,2,3,Don't know,Don't know
126495,DK,5,3,6,6,3,3,4,5
126545,DK,1,8,Complete trust,5,5,5,5,9
126599,DK,8,7,8,Complete trust,5,5,4,9
126625,DK,7,5,7,8,5,5,5,5
126638,DK,9,7,8,9,6,6,8,9
126647,DK,6,4,6,8,6,5,6,6
126653,DK,7,7,8,Complete trust,7,7,5,7
126659,DK,5,4,4,8,5,5,2,2
126693,DK,5,No trust at all,9,9,No trust at all,No trust at all,No trust at all,2
126742,DK,8,7,7,8,6,5,2,2
126771,DK,7,5,7,8,8,7,6,8
126807,DK,5,3,Complete trust,8,3,3,3,8
126926,DK,7,1,8,9,No trust at all,1,No trust at all,7
126949,DK,7,6,9,9,6,6,5,6
126952,DK,7,5,8,9,5,4,Don't know,Don't know
127015,DK,8,6,8,8,4,4,6,7
127056,DK,9,Don't know,7,7,5,5,Complete trust,9
127058,DK,4,2,5,7,2,No trust at all,No trust at all,2
127075,DK,Most people can be trusted,1,7,Complete trust,3,2,7,8
127113,DK,7,6,8,4,5,6,6,8
127234,DK,6,5,7,Complete trust,5,4,3,5
127291,DK,9,8,8,7,2,4,5,6
127306,DK,9,4,7,8,2,3,6,5
127345,DK,6,5,8,7,3,4,Don't know,7
127429,DK,6,8,8,6,4,1,6,4
127435,DK,Most people can be trusted,8,Complete trust,6,7,7,8,8
127447,DK,6,No trust at all,4,Complete trust,No trust at all,No trust at all,No trust at all,Don't know
127504,DK,7,6,9,Complete trust,5,5,4,7
127511,DK,8,8,9,9,5,6,6,6
127576,DK,7,7,6,8,5,5,5,6
127622,DK,Most people can be trusted,Complete trust,Complete trust,Complete trust,8,7,Don't know,8
127641,DK,8,8,Complete trust,Complete trust,8,8,8,8
127701,DK,Most people can be trusted,5,Don't know,9,1,4,4,Don't know
127841,DK,7,4,4,6,3,5,7,5
127994,DK,8,4,6,8,4,4,3,5
128018,DK,8,9,Complete trust,Complete trust,8,9,8,8
128019,DK,Most people can be trusted,7,5,5,2,3,4,5
128028,DK,7,8,9,8,6,7,6,7
128040,DK,6,7,8,9,5,6,7,8
128062,DK,7,9,9,6,7,8,7,8
128137,DK,7,5,9,9,4,4,3,3
128182,DK,8,7,9,7,7,5,Refusal,8
128217,DK,7,8,8,8,8,8,9,7
128246,DK,You can't be too careful,8,9,9,6,6,6,6
128278,DK,8,Don't know,8,8,5,3,6,5
128321,DK,7,9,Complete trust,Complete trust,Complete trust,9,Complete trust,Complete trust
128327,DK,9,8,9,9,7,8,8,Don't know
128418,DK,7,6,8,8,7,7,Don't know,7
128426,DK,7,5,6,Complete trust,4,4,3,4
128439,DK,8,8,9,9,6,6,6,6
128445,DK,7,6,4,4,4,6,7,8
128471,DK,8,7,8,8,7,8,6,7
128488,DK,6,6,5,8,4,5,7,8
128596,DK,7,3,7,9,2,2,No trust at all,4
128614,DK,3,5,9,Complete trust,5,5,8,8
128645,DK,9,9,9,9,9,9,5,8
128685,DK,7,6,7,7,3,1,3,4
