idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,prtvtddk,gndr,agea,edlvddk,infqbst,grspnum,region
126352,DK,10,9,9,9,8,8,8,8,,Female,48,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,50000,Nordjylland
126447,DK,9,6,8,8,6,6,7,8,Other,Female,53,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,30000,Midtjylland
126465,DK,8,10,10,10,7,7,6,10,Socialdemokratiet - The Social democrats,Female,82,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Syddanmark
126468,DK,7,5,4,8,7,7,7,9,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,78,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Syddanmark
126469,DK,5,6,6,8,6,6,5,5,SF Socialistisk Folkeparti - Socialist People's Party,Female,28,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,22500,Sjælland
126484,DK,1,3,3,8,2,3,,,,Female,39,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,,Midtjylland
126495,DK,5,3,6,6,3,3,4,5,Socialdemokratiet - The Social democrats,Female,71,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Nordjylland
126545,DK,1,8,10,5,5,5,5,9,Dansk Folkeparti - Danish People's Party,Male,61,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,,Sjælland
126599,DK,8,7,8,10,5,5,4,9,Dansk Folkeparti - Danish People's Party,Male,44,Folkeskole 9.-10. klasse,Monthly,,Sjælland
126625,DK,7,5,7,8,5,5,5,5,Socialdemokratiet - The Social democrats,Female,26,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Sjælland
126638,DK,9,7,8,9,6,6,8,9,Enhedslisten - Unity List - The Red-Green Alliance,Female,73,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Sjælland
126647,DK,6,4,6,8,6,5,6,6,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,32,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,23500,Nordjylland
126653,DK,7,7,8,10,7,7,5,7,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,76,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
126659,DK,5,4,4,8,5,5,2,2,Dansk Folkeparti - Danish People's Party,Female,72,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,,Syddanmark
126693,DK,5,0,9,9,0,0,0,2,,Female,76,Folkeskole 6.-8. klasse,Monthly,,Sjælland
126742,DK,8,7,7,8,6,5,2,2,Dansk Folkeparti - Danish People's Party,Female,76,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
126771,DK,7,5,7,8,8,7,6,8,,Male,18,Folkeskole 9.-10. klasse,Monthly,13500,Syddanmark
126807,DK,5,3,10,8,3,3,3,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,56,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Annual,500000,Nordjylland
126926,DK,7,1,8,9,0,1,0,7,Dansk Folkeparti - Danish People's Party,Male,34,Folkeskole 9.-10. klasse,,77777,Syddanmark
126949,DK,7,6,9,9,6,6,5,6,SF Socialistisk Folkeparti - Socialist People's Party,Female,35,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,26500,Syddanmark
126952,DK,7,5,8,9,5,4,,,Dansk Folkeparti - Danish People's Party,Male,41,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
127015,DK,8,6,8,8,4,4,6,7,Enhedslisten - Unity List - The Red-Green Alliance,Female,32,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Hovedstaden
127056,DK,9,,7,7,5,5,10,9,,Male,20,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,21000,Midtjylland
127058,DK,4,2,5,7,2,0,0,2,,Male,59,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Sjælland
127075,DK,10,1,7,10,3,2,7,8,Dansk Folkeparti - Danish People's Party,Female,86,Folkeskole 6.-8. klasse,Monthly,,Hovedstaden
127113,DK,7,6,8,4,5,6,6,8,Socialdemokratiet - The Social democrats,Male,70,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Nordjylland
127234,DK,6,5,7,10,5,4,3,5,,Male,55,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,35000,Sjælland
