,idno,gndr,agea,region,prtvtddk,edlvddk,infqbst,grspnum
1394,141142,Male,85,DK03,Dansk Folkeparti - Danish People's Party,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,
1395,141227,Female,39,DK04,Not applicable,Licentiat,Not applicable,
1396,141387,Male,24,DK03,Other,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,52000.0
1397,141398,Male,18,DK04,Not applicable,Folkeskole 9.-10. klasse,Monthly,
1398,141508,Male,72,DK04,Refusal,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
1399,141541,Female,35,DK01,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,25000.0
1400,141564,Female,41,DK03,Not applicable,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,22000.0
1401,141583,Female,71,DK01,Enhedslisten - Unity List - The Red-Green Alliance,Folkeskole 6.-8. klasse,Monthly,
1402,141627,Female,22,DK03,Socialdemokratiet - The Social democrats,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,
1403,141630,Female,47,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,32000.0
1404,141665,Male,44,DK05,Socialdemokratiet - The Social democrats,Other,Monthly,37000.0
1405,141865,Male,40,DK03,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,56000.0
1406,141890,Male,17,DK05,Not applicable,Folkeskole 9.-10. klasse,Not applicable,
1407,141902,Female,25,DK02,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,
1408,141952,Male,49,DK05,Det Radikale Venstre - The Radical Liberal Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,68000.0
1409,142009,Male,53,DK02,Refusal,Folkeskole 9.-10. klasse,Weekly,8000.0
1410,142013,Male,47,DK05,Refusal,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
1411,142072,Female,58,DK03,SF Socialistisk Folkeparti - Socialist People's Party,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
1412,142096,Male,36,DK04,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,27000.0
1413,142110,Female,52,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,31300.0
1414,142203,Male,60,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,150000.0
1415,142210,Female,55,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,40000.0
1416,142291,Female,80,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,
1417,142311,Female,51,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,25000.0
1418,142419,Female,24,DK04,Liberal Alliance - Liberal Alliance,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,17900.0
1419,142473,Female,15,DK01,Not applicable,Folkeskole 6.-8. klasse,Not applicable,
1420,142527,Male,69,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
1421,142588,Male,77,DK05,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1422,142704,Male,24,DK02,Liberal Alliance - Liberal Alliance,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,
1423,142781,Female,74,DK01,Socialdemokratiet - The Social democrats,Folkeskole 6.-8. klasse,Monthly,
1424,142788,Female,80,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
1425,142803,Female,52,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,22500.0
1426,142894,Male,80,DK05,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1427,142986,Female,66,DK01,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
1428,143058,Female,40,DK04,Socialdemokratiet - The Social democrats,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,20500.0
1429,143079,Male,73,DK04,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1430,143081,Male,47,DK05,Dansk Folkeparti - Danish People's Party,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,31000.0
1431,143095,Male,31,DK03,Not applicable,Folkeskole 9.-10. klasse,Monthly,
1432,143183,Female,17,DK04,Not applicable,Folkeskole 9.-10. klasse,Monthly,5000.0
1433,143205,Female,60,DK01,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,33545.0
1434,143219,Female,52,DK03,Enhedslisten - Unity List - The Red-Green Alliance,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1435,143260,Male,49,DK03,Not applicable,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,27000.0
1436,143387,Female,66,DK01,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1437,143403,Male,70,DK02,Dansk Folkeparti - Danish People's Party,Folkeskole 6.-8. klasse,Monthly,
1438,143407,Female,61,DK03,Enhedslisten - Unity List - The Red-Green Alliance,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,
1439,143522,Female,66,DK04,Det Konservative Folkeparti - Conservative People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Don't know,12000.0
1440,143560,Male,82,DK04,Det Konservative Folkeparti - Conservative People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,
1441,143609,Female,61,DK01,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,36000.0
